mesh_size,total_cell_count,particle_fraction_error,average_sigma_xx,effective_axial_modulus,effective_poissons_ratio,matrix_sigma_xx_min,matrix_sigma_xx_max,particle_sigma_xx_min,particle_sigma_xx_max,cell_count_growth_pct,particle_fraction_error_reduction_pct,average_sigma_xx_successive_difference_pct,effective_modulus_successive_difference_pct,effective_poissons_successive_difference_pct,matrix_sigma_xx_min_successive_difference_pct,matrix_sigma_xx_max_successive_difference_pct,particle_sigma_xx_min_successive_difference_pct,particle_sigma_xx_max_successive_difference_pct
0.05,1028,0.0012195607140616516,11.850360066857748,1185.0360066857736,0.3008117790912852,1.4128648726619162,17.003752412403106,16.361342880001885,17.060732040887697,,,,,,,,,
0.04,1550,0.0008059000532696231,11.847494237134054,1184.749423713406,0.3010751127956248,1.6511086272094047,16.95681972159398,16.23185438743926,16.998580028107565,50.778210116731515,33.91882470650961,0.024189332075905227,0.024189332075749883,0.08746445426672464,14.429320434849426,0.2767776716370825,0.7977430641740357,0.3656306154829519
0.032,2448,0.0005161341114071905,11.846157474631791,1184.6157474631816,0.30121455609672665,1.5986404743555769,16.98828380068761,16.235205128386873,16.845039966687285,57.935483870967744,35.95556802444932,0.01128435532893332,0.011284355328779744,0.04629367946516127,3.2820483214012244,0.18521046306253364,0.020638734904278984,0.911485290173965
0.0256,3806,0.00033047257928764395,11.845203693269118,1184.5203693269168,0.301341250896426,1.486020845609742,17.06481064270281,16.041785838137194,16.85481194848727,55.47385620915033,35.97156785730709,0.008052046949730256,0.008052046949517272,0.04204362971297658,7.578603562564767,0.4484482343079643,1.2057216833667643,0.05797740034034015
0.02048,5704,0.00021498687917584358,11.844588076691464,1184.4588076691466,0.3014325439907935,1.5347777942586378,17.121113414007024,16.16876592830762,16.709926100348735,49.86862848134525,34.94562252660648,0.005197450292644372,0.005197450293045095,0.030286409409826177,3.1768083191774066,0.3288499406712172,0.7853418791109815,0.8670645655070373
0.016384,8954,0.00013940948111426654,11.844236024544985,1184.423602454499,0.30146665784538446,1.5706048485702446,17.01418402471575,16.09869317273529,16.696964449728103,56.977559607293124,35.154423540313005,0.0029723499746968545,0.002972349974683656,0.01131596271201974,2.281099179352525,0.6284720391876705,0.43526983724992524,0.0776287849187035
