case_id,status,design_sha256,unit_particle_fraction,unit_stiffness_ratio,unit_matrix_poissons_ratio,unit_particle_poissons_ratio,particle_fraction,stiffness_ratio,matrix_poissons_ratio,particle_poissons_ratio,particle_radius,matrix_youngs_modulus,particle_youngs_modulus,center_x,center_y,prescribed_x_displacement,mesh_size,model_dimension,model_assumption,model_interface,rve_width,rve_height,analytical_particle_fraction,meshed_particle_fraction,particle_fraction_error,cell_count,average_epsilon_xx,average_epsilon_yy,average_sigma_xx,average_sigma_yy,effective_modulus,effective_poissons_ratio,matrix_sigma_xx_min,matrix_sigma_xx_max,particle_sigma_xx_min,particle_sigma_xx_max,solver_convergence_reason,verification_solver_converged,verification_positive_material_areas,verification_total_area,verification_particle_fraction,verification_average_epsilon_xx,verification_finite_response,verification_positive_effective_modulus
M4PB_018,success,b2c7c541725a93d7bcef294926464aa0c4cac66d07506560d3f9a14c7539118c,0.3550391638420417,0.3982197639605872,0.8961957594274695,0.5103801543946033,0.1387597909605104,9.16795575129057,0.379239151885494,0.2520760308789206,0.2101633014289761,1000.0,9167.95575129057,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.13875979096051044,0.13854379655369087,0.00021599440681957516,5688,0.010000000000000007,-0.003730588456334525,12.035161076719364,-3.246986013394347e-13,1203.5161076719355,0.3730588456334522,1.4497713947879791,17.295777743749355,16.062556377969187,16.76175557879734,4,True,True,True,True,True,True,True
M4PB_019,success,4bd2068d28027580a04466bd4ce08292c17327a0152370f1618334a0a9a6195a,0.6214752799347374,0.01747937396743796,0.9916897770145532,0.647606964700025,0.2053688199836843,2.314628731413883,0.3983379554029107,0.279521392940005,0.2556773860056966,1000.0,2314.628731413883,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.20536881998368442,0.2051523730435927,0.00021644694009170795,5718,0.010000000000000005,-0.003804260791061383,11.627103763122681,-1.7653933870320773e-13,1162.7103763122675,0.38042607910613807,5.730732820620502,14.631260242896904,13.485461186889257,14.23021768480761,4,True,True,True,True,True,True,True
M4PB_020,success,b9faec7608e5894b1a4383d45087e2a6bd053b1252a8685d778ff83ae528b2f4,0.8436377475432658,0.2110237102569519,0.4707888348818211,0.5296378731903506,0.2609094368858165,5.798426784625134,0.2941577669763643,0.2559275746380701,0.2881840612514876,1000.0,5798.426784625134,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.26090943688581647,0.26069276127313656,0.00021667561267990632,5720,0.010000000000000045,-0.002933679465610321,13.892549723951852,3.902780876252634e-14,1389.2549723951788,0.29336794656103077,3.1453236118772963,19.702396573985922,17.266058634482125,19.276487513465923,4,True,True,True,True,True,True,True
M4PB_021,success,1972049c07b91dc0a7992c30426f3e131382e2fd199c0a8ff50c78548126c8f2,0.2785570376429022,0.8238854266919505,0.7289457635831157,0.04991767284661135,0.1196392594107256,16.82993768045511,0.3457891527166231,0.1599835345693223,0.1951470190552268,1000.0,16829.93768045511,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.11963925941072553,0.11942071406100445,0.00021854534972108597,5666,0.010000000000000028,-0.0034274667621561053,11.8741339118461,1.9654416982817232e-15,1187.4133911846066,0.34274667621560956,0.7740866114369731,17.37390311133992,16.341961047174976,16.952654208428644,4,True,True,True,True,True,True,True
M4PB_022,success,2694f3b6f7aebdafe0e23986f3ff7310cd695bb36c48ac4612ed80c771304041,0.1985731278886091,0.2346575424393577,0.5880924628236088,0.4084823808815857,0.09964328197215228,6.223835763908439,0.3176184925647218,0.2316964761763171,0.1780939127076924,1000.0,6223.835763908439,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.0996432819721523,0.09942668731783323,0.00021659465431907166,5698,0.010000000000000033,-0.0031591319062539373,11.27334385555947,1.4237482720558268e-13,1127.334385555943,0.3159131906253927,2.247166690288127,15.677777445027136,15.02284338733363,15.520264155162753,4,True,True,True,True,True,True,True
M4PB_023,success,7cc973ed512d5b34ddaf053803db24a9e1ee681f35258526631161db4d017558,0.933962715422455,0.01253697862928181,0.1452952294303639,0.2779745535310287,0.2834906788556137,2.225665615327073,0.2290590458860728,0.2055949107062057,0.3003962145578669,1000.0,2225.665615327073,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.2834906788556139,0.28327506222478116,0.00021561663083274896,5756,0.00999999999999998,-0.002272228994824945,12.250042237802443,-1.0415973639155149e-13,1225.0042237802468,0.22722289948249497,6.360572565421437,15.314721438145806,14.035544220079169,15.084127718710214,4,True,True,True,True,True,True,True
M4PB_024,success,08da6f338827eb9274de71e54865992431c97a05668140faf910eea919fdf061,0.6153643270751755,0.513839254838535,0.3420222139197778,0.9271562392930879,0.2038410817687939,11.24910658709363,0.2684044427839556,0.3354312478586176,0.2547246190249493,1000.0,11249.10658709363,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.20384108176879392,0.20362624497702878,0.00021483679176514947,5740,0.00999999999999997,-0.0027852947006121913,13.376299041944167,1.3118672814726986e-13,1337.6299041944205,0.27852947006122,1.7250928153788974,19.498930969799805,17.476928211858965,19.16369332493641,4,True,True,True,True,True,True,True
M4PB_025,success,ba54139e4487e82657635969be8843900fe7f4caccbdd70bcbf0ecfc565c32aa,0.4933209383883896,0.9427206351578554,0.1005469517415829,0.2884357095203964,0.1733302345970974,18.9689714328414,0.2201093903483166,0.2076871419040793,0.2348887550454721,1000.0,18968.9714328414,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.17333023459709734,0.17311630236523923,0.00021393223185811605,5740,0.010000000000000004,-0.0023258879436449803,12.974248530730447,4.462263891724661e-13,1297.4248530730442,0.23258879436449795,1.1135286466348753,19.20257170065129,17.883436954359063,18.92059926974896,4,True,True,True,True,True,True,True
M4PB_026,success,04e3f6a2a3ee03e31a13547ad9d001c002f34e642b86de8ad0ec46c59b090927,0.4658617716155083,0.6257839084072057,0.9071233852358886,0.8205127718851365,0.1664654429038771,13.2641103513297,0.3814246770471778,0.3141025543770273,0.2301903477217657,1000.0,13264.1103513297,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.16646544290387702,0.16624824990601933,0.0002171929978576903,5692,0.010000000000000014,-0.0037648434493504804,12.689228551051809,3.0347252488738314e-13,1268.922855105179,0.3764843449350475,1.1176066533398779,18.587163517587285,16.65470021022721,18.062228002799422,4,True,True,True,True,True,True,True
M4PB_027,success,8dab7a0ffc3f116157c8e05e1576a00111a9e2930f2339dbd52dcdea597caeb1,0.1292255464639373,0.4495633246170788,0.9577273011438557,0.2306750757286253,0.08230638661598433,10.09213984310742,0.3915454602287712,0.196135015145725,0.1618608555393584,1000.0,10092.13984310742,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.08230638661598433,0.08208993586252883,0.00021645075345549936,5694,0.010000000000000033,-0.0038634531889263977,11.156246826815446,3.3462121962202243e-13,1115.624682681541,0.3863453188926385,0.9621878335284251,16.114266626869217,15.258207395875413,15.777019338495919,4,True,True,True,True,True,True,True
M4PB_028,success,98d24788def034eda1ab7647e6348f4e8d06239e1f5517bd89919b88f0d46170,0.2595318773689153,0.6079267577157269,0.7797884713093134,0.6922580836250957,0.1148829693422288,12.94268163888308,0.3559576942618627,0.2884516167250191,0.1912286194474581,1000.0,12942.68163888308,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.11488296934222873,0.11466594230447621,0.00021702703775251797,5700,0.00999999999999999,-0.003539693219259938,11.73366068575123,2.0740353878778646e-14,1173.3660685751242,0.3539693219259942,0.9788034426869784,16.996653246890027,15.969914165207475,16.81292184092234,4,True,True,True,True,True,True,True
M4PB_029,success,a46322ff899239f44d359d1973ce59370c6a15c3b0d3b17aa9a38aa78c497ea8,0.2435416948161793,0.8389752963085847,0.4218801222121176,0.4911565668265391,0.1108854237040448,17.10155533355452,0.2843760244424235,0.2482313133653078,0.1878721017039942,1000.0,17101.55533355452,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.11088542370404493,0.11066866720815771,0.00021675649588721868,5684,0.009999999999999983,-0.002877418057555847,11.724977030454118,3.4679203952947455e-13,1172.4977030454138,0.28774180575558517,0.8890661102073429,17.25961699792054,16.342062308462815,17.030989985706572,4,True,True,True,True,True,True,True
M4PB_030,success,841acd4b2710f6d7b3ee39f2340f5e3f96fb939e85cb7c4082f2716655d7a8b6,0.4695250034160516,0.3135835983687568,0.8440375990327413,0.0705120329188844,0.1673812508540129,7.644504770637623,0.3688075198065483,0.1641024065837769,0.2308226741649125,1000.0,7644.504770637623,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.16738125085401293,0.1671628629710749,0.0002183878829380148,5668,0.010000000000000014,-0.003576269484728141,12.436531166461839,-5.868222574534353e-14,1243.653116646182,0.35762694847281357,1.9777815502972003,17.728580221567526,15.99569343086241,17.20925525930746,4,True,True,True,True,True,True,True
M4PB_031,success,047e2eadf68a4ca9fc94b96a3c6298adfe0cac1b42414246f3b2da9e53e23a30,0.8330579799598202,0.4053827994705556,0.7528675237120982,0.6806041736363941,0.2582644949899551,9.29689039047,0.3505735047424197,0.2861208347272788,0.2867196226378076,1000.0,9296.89039047,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.2582644949899551,0.2580451149321605,0.00021938005779459369,5692,0.010000000000000012,-0.003437843820733224,14.422908006993568,6.3726801613484e-14,1442.290800699355,0.34378438207332196,2.1678833638298642,21.245050255625,18.107538546235098,20.61102007915001,4,True,True,True,True,True,True,True
M4PB_032,success,bf95f411e56fa2e6a00576c71316dcce0d0c73e7ab899c186538b67492bb6401,0.7575501295497936,0.6970513626736615,0.2353316234900644,0.6637674004910765,0.2393875323874484,14.54692452812591,0.2470663246980129,0.2827534800982153,0.2760424209937075,1000.0,14546.92452812591,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.23938753238744856,0.2391695840754053,0.00021794831204324794,5706,0.01000000000000001,-0.002593775587599115,14.34812312025848,3.647082635893638e-13,1434.8123120258465,0.25937755875991125,1.5438828875118984,21.337914116294282,18.538408645635506,20.8912087192179,4,True,True,True,True,True,True,True
M4PB_033,success,89f9257202a3d71448e2ca597c4784c6ea672f0c16b90df95fbcd030a4c8fc42,0.7175260277993066,0.6620099969813583,0.5752385405261652,0.4756804448969791,0.2293815069498267,13.91617994566445,0.3150477081052331,0.2451360889793958,0.2702117713384554,1000.0,13916.17994566445,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.22938150694982665,0.22916248569495354,0.00021902125487310853,5684,0.009999999999999993,-0.0031439905186618285,14.062182377344325,2.8829716391953783e-13,1406.2182377344334,0.31439905186618305,1.4965870808940225,20.863986797942225,18.127992113297864,20.319371717119427,4,True,True,True,True,True,True,True
M4PB_034,success,662799139f573ef0658d0c5ed2d6218effa96671cb15c72191b294be7a903ea0,0.5435620306240222,0.3397199244190759,0.5527599819457485,0.7370277636533317,0.1858905076560056,8.114958639543367,0.3105519963891497,0.2974055527306663,0.2432504600913022,1000.0,8114.958639543367,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.18589050765600557,0.18567314207846577,0.0002173655775397909,5714,0.010000000000000005,-0.003124081876366365,12.80330669360844,-1.1105005803813136e-13,1280.3306693608433,0.3124081876366363,2.1132752549006275,18.319057606740074,16.78159052305515,17.939759806257292,4,True,True,True,True,True,True,True
M4PB_035,success,19d49a23916726686125f516121344ef3832b211b8eb1b7e08992779174090f0,0.01897207236128586,0.0736066511203795,0.7109835752214978,0.1623460961575139,0.05474301809032147,3.324919720166831,0.3421967150442996,0.1824692192315028,0.1320047114980652,1000.0,3324.919720166831,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.05474301809032148,0.05452899554541413,0.00021402254490734962,5712,0.00999999999999999,-0.0033766494097449435,10.519486037270608,-6.905934157863667e-14,1051.948603727062,0.3376649409744947,3.7087917511498185,13.807955341000715,13.437934188982616,13.819926262681609,4,True,True,True,True,True,True,True
M4PB_036,success,2a2b09d49812544d054c4c4d51550d5fee8459821dab46bc53b0ba7a7151e491,0.3882151460829126,0.9271423459893585,0.939489117276752,0.6176698703198683,0.1470537865207281,18.68856222780845,0.3878978234553504,0.2735339740639736,0.2163531235048582,1000.0,18688.56222780846,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.14705378652072812,0.14683833770015972,0.00021544882056839798,5720,0.009999999999999986,-0.0038255092679154524,12.414029210936091,8.436099041553284e-13,1241.4029210936108,0.38255092679154573,0.6156374176598265,18.382167331964567,16.27651158483429,17.782375406979504,4,True,True,True,True,True,True,True
M4PB_037,success,0132e83e2693bf60656d3da725f794bc98a94f362b20bd2b17afbd8d71844e8f,0.6351518337049078,0.973593595890625,0.8622568878216791,0.9351668558672991,0.2087879584262269,19.52468472603125,0.3724513775643358,0.3370333711734598,0.2577969574746729,1000.0,19524.68472603125,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.2087879584262269,0.20857337310445104,0.00021458532177587308,5762,0.010000000000000012,-0.0036784404240041047,13.745516184480525,2.648090080548118e-13,1374.551618448051,0.36784404240041,0.9951033911535958,20.576041776838576,17.93238762239379,19.94339394541874,4,True,True,True,True,True,True,True
M4PB_038,success,00fff8f0925ea5c880f11a5844b6ac47782f584ae9f4b586f1f7e9b0aeea1232,0.5541018685573206,0.06335804022520011,0.3067543296848271,0.7524680978802183,0.1885254671393302,3.140444724053602,0.2613508659369654,0.3004936195760436,0.2449684061014117,1000.0,3140.444724053602,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.18852546713933022,0.18831078154285916,0.00021468559647105923,5748,0.009999999999999986,-0.0026902399073236113,11.913254736377192,-6.139533326177116e-14,1191.325473637721,0.2690239907323615,4.720355650316533,15.572569506793807,14.572368807989818,15.388279001971116,4,True,True,True,True,True,True,True
M4PB_039,success,744ca7892c42261f0be91585633b993643e7b683b5e859b33e23034fcfaf88a8,0.3750028546582885,0.09157522623529048,0.09204862145517025,0.01770560794548741,0.1437507136645721,3.648354072235229,0.2184097242910341,0.1535411215890975,0.213909497931739,1000.0,3648.354072235229,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.14375071366457218,0.1435336766424078,0.0002170370221643847,5676,0.009999999999999941,-0.002187057245668403,11.544459060244373,-1.9292206721033224e-13,1154.445906024444,0.21870572456684156,4.082503713678621,15.339439433909174,14.518284714453255,15.186977198386286,4,True,True,True,True,True,True,True
M4PB_040,success,cff127a19e75b09484d5d0c260a6f941b3465b951753f5835d557c46d3b32084,0.2240733892934439,0.5589145768648617,0.07104334284648171,0.8640615656407246,0.106018347323361,12.06046238356751,0.2142086685692964,0.3228123131281449,0.1837027165555606,1000.0,12060.46238356751,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.10601834732336105,0.10580377389181404,0.00021457343154700215,5718,0.01000000000000006,-0.0022441892317699836,11.587534433434287,3.638617185330881e-13,1158.7534433434218,0.22441892317699702,1.4176815150026811,16.900404707901625,16.344887239350268,16.814710663536257,4,True,True,True,True,True,True,True
M4PB_041,success,9960400b73d89d8f66a2a0c90fc979c459a2b314f52b128e44af0d2ff5d76e13,0.4033763522915264,0.2604923427609764,0.6391659803810019,0.8375619524104955,0.1508440880728816,6.688862169697575,0.3278331960762004,0.3175123904820991,0.2191236283607421,1000.0,6688.862169697574,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.15084408807288152,0.15062953558311884,0.0002145524897626816,5730,0.010000000000000007,-0.0032836270756215922,12.07573633016489,1.183775300006572e-14,1207.5736330164882,0.32836270756215896,2.352241922182891,16.9731226567563,15.780175035913814,16.6303965117435,4,True,True,True,True,True,True,True
